"name","state.x","White","Black","Hispanic","Asian","Women","World.Rank","Location","National.Rank","Quality.of.Education","Alumni.Employment","Quality.of.Faculty","Research.Performance","Score","Men","act-avg","sat-avg","acceptance-rate","percent-receiving-aid","cost-after-aid","state.y","isPublic","tuition","total","White2","Black2","Hispanic2","Asian2","rank","state_name","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent"
"Harvard University","Massachusetts",45.6253690389358,5.15786183182244,7.86009516862909,14.681671355632,48.5186342954395,1,"USA",1,"2","1","1","1",100,51.4813657045605,32,1430,5,55,16338,"MA",TRUE,48949,73.3249973950193,62.2234853867652,7.03424754867131,10.71953010279,20.0227369617735,2,"Massachusetts",74800,146800,54,19
"Massachusetts Institute of Technology","Massachusetts",33.112465765527,3.03913773301528,9.60332184821981,16.1851753688488,37.3354536619843,2,"USA",2,"1","10","2","5",96.7,62.6645463380157,33,1460,8,58,20331,"MA",TRUE,49892,61.9401007156109,53.4588503779775,4.90657538154329,15.5042076736557,26.1303665668236,1,"Massachusetts",86300,155200,52,69
"Stanford University","California",36.6562518422449,3.73165124093616,10.3106761775629,15.5043329599717,41.4667216883806,3,"USA",3,"9","3","3","2",95.2,58.5332783116194,31,1380,5,47,19296,"CA",TRUE,49617,66.2029122207157,55.3695458593054,5.6366874443455,15.5743544078362,23.4194122885129,4,"California",79000,145200,56,51
"Columbia University","New York",34.7421073616296,5.1143571713364,7.93069701692704,12.5919750625249,50.7194896516728,6,"USA",4,"13","12","8","12",92.6,49.2805103483272,32,1430,6,48,21041,"NY",TRUE,57208,60.379136612418,57.5399207587946,8.47040461039741,13.1348301116581,20.85484451915,10,"New-York",71400,126800,45,30
"Princeton University","New Jersey",43.1998021760633,5.86053412462908,7.05984174085064,15.8506429277943,45.3635014836795,7,"USA",5,"6","14","6","54",92,54.6364985163205,32,1400,7,60,16793,"NJ",TRUE,47140,71.9708209693373,60.0240508503693,8.14293076790929,9.80931111492871,22.0237072667926,2,"New-Jersey",75200,139400,48,48
"University of California, Berkeley","California",30.6641820843871,2.35857846399574,12.0564355117796,29.7404498868628,50.1823505923067,8,"USA",6,"5","48","9","6",91.6,49.8176494076933,29,1300,16,23,49614,"CA",TRUE,42112,74.8196459470252,40.9841315021704,3.15235181100121,16.1139970113143,39.7495196755141,7,"California",70700,131800,49,36
"University of Pennsylvania","Pennsylvania",45.3438684189309,5.97839232443764,7.25227767475611,14.9842779972587,52.6767717487705,9,"USA",7,"15","8","30","14",91.1,47.3232282512295,32,1380,9,47,25441,"PA",TRUE,53534,73.5588164153834,61.6430098098318,8.1273634022031,9.85915492957746,20.3704718583877,3,"Pennsylvania",72800,133900,41,21
"University of Chicago","Illinois",42.6574816188647,4.19950983639134,6.1469166059482,12.7376299927138,42.0017221964629,10,"USA",8,"11","18","19","16",90.7,57.9982778035371,32,1450,8,42,27767,"IL",TRUE,54825,65.741538053918,64.8866498740554,6.38790931989924,9.35012594458438,19.375314861461,4,"Illinois",64000,114200,41,22
"California Institute of Technology","California",33.635129017655,1.22227252150294,7.83159800814848,26.2562245359891,30.7378904481666,11,"USA",9,"3","179","4","52",90.4,69.2621095518334,34,1510,8,51,23973,"CA",TRUE,49908,68.9452240832956,48.7852921864741,1.77281680892974,11.3591595535128,38.0827314510834,3,"California",84100,151600,53,97
"Yale University","Connecticut",47.8761348897536,5.47178988326848,7.61186770428016,12.8161478599222,48.9704928664073,12,"USA",10,"8","32","12","17",90.1,51.0295071335927,32,1420,6,50,18385,"CT",TRUE,51400,73.7759403372244,64.8939676958576,7.4167673881991,10.3175475222503,17.371717393693,1,"Connecticut",70300,138300,53,22
"Cornell University","New York",39.6651137045067,4.88491166566724,9.19784122883897,14.4333225702293,48.4662576687117,14,"USA",11,"12","26","13","22",89.5,51.5337423312883,31,1330,14,44,28068,"NY",TRUE,52853,68.1811891692421,58.1760368040052,7.16460320681957,13.4902915905554,21.1690683986199,9,"New-York",70100,128200,45,43
"Northwestern University","Illinois",48.2230676440568,4.90860165166558,7.71086573257864,13.2921963440661,46.9008072747518,15,"USA",12,"160","16","31","24",89.3,53.0991927252482,32,1400,11,43,31087,"IL",TRUE,52678,74.1347313723671,65.047875336379,6.62119031228487,10.4011515113587,17.9297828399775,2,"Illinois",63400,115400,46,20
"University of California, Los Angeles","California",30.6464332656231,2.93702951368144,16.8861273748357,26.9016608913849,52.8282948978373,16,"USA",13,"32","57","15","10",89,47.1717051021627,25,1160,18,15,42896,"CA",TRUE,41270,77.3712510455252,39.6095873486533,3.7960217445021,21.8248085001235,34.769582406721,15,"California",62000,116100,48,31
"University of Michigan, Ann Arbor","Michigan",56.8710601719198,3.99312320916905,4.43094555873926,11.4017191977077,47.876217765043,17,"USA",14,"35","35","85","9",88.8,52.123782234957,29,1310,29,25,32856,"MI",TRUE,47476,76.6968481375358,74.1504527929705,5.20637197764428,5.77721988104845,14.8659553483368,3,"Michigan",63500,112200,45,38
"Johns Hopkins University","Maryland",47.6137001684447,6.63952835485682,7.00917087778402,13.658057271196,51.9792251544076,18,"USA",15,"31","164","20","7",88.6,48.0207748455924,32,1420,12,45,30067,"MD",TRUE,52170,74.9204566722815,63.5523357481889,8.86210342243317,9.35548338745941,18.2300774419186,3,"Maryland",67200,117100,57,31
"University of Washington","Washington",46.9252411575563,2.44060378706681,6.51348695962844,19.4310468024294,52.18158270811,19,"USA",16,"47","208","14","8",88.4,47.81841729189,26,1120,45,20,47746,"WA",TRUE,35538,75.310378706681,62.309129184333,3.24072701396507,8.64885699884366,25.8012868028582,2,"Washington",61900,112300,51,34
"University of Illinois at Urbana-Champaign","Illinois",48.2432432432432,4.84271156402304,7.49667700487373,13.5600354452813,44.9069561364643,20,"USA",17,"16","129","17","46",88.2,55.0930438635357,26,1280,60,9,35977,"IL",TRUE,31988,74.1426672574214,65.0681247759053,6.53161228636309,10.1111509501613,18.2891119875702,3,"Illinois",62600,115300,44,36
"Duke University","North Carolina",49.1107467204844,7.29061553985873,5.02648839556004,14.3037336024218,49.7666498486377,23,"USA",18,"100","46","25","20",87.7,50.2333501513623,31,1380,11,41,23374,"NC",TRUE,53744,75.7315842583249,64.8484343770819,9.62691538974017,6.63724183877415,18.8874083944037,1,"North-Carolina",71100,132100,50,26
"University of Wisconsin-Madison","Wisconsin",71.4470162918447,2.25597445889478,4.57298464716653,5.11995868350627,50.7324287525236,25,"USA",19,"28","80","35","27",87.3,49.2675712474764,27,1234,53,16,36113,"WI",TRUE,34782,83.3959340814123,85.6720619282196,2.70513722730471,5.48346235045742,6.1393384940183,3,"Wisconsin",57300,104400,48,33
"New York University","New York",35.1625603766692,4.81795673174494,8.65973941632504,14.8435280269513,55.1061411697853,26,"USA",20,"64","39","37","39",87.2,44.8938588302147,29,1250,32,46,41783,"NY",TRUE,50464,63.4837845516905,55.3882548511876,7.58927144272881,13.6408682586874,23.3816054473962,13,"New-York",63100,117700,42,18
"University of California San Diego","California",25.2531831059299,1.26347324888469,14.6308899671106,34.0063173662444,45.9213911231235,27,"USA",21,"67","-","16","15",87.1,54.0786088768765,25,1140,36,7,42933,"CA",TRUE,44197,75.1538636881696,33.601975822176,1.68118202695091,19.4679145543568,45.2489275965163,10,"California",63400,123700,52,58
"University of Texas at Austin","Texas",46.9042932590182,3.82164363806443,19.1686317307505,16.2220100169548,50.7941457330501,31,"USA",22,"72","58","43","44",86.5,49.2058542669499,26,1140,40,7,40558,"TX",TRUE,35766,86.1165786447879,54.4660435855077,4.43775600262509,22.2589332186743,18.8372671931929,4,"Texas",60700,112800,49,28
"University of California, San Francisco","California",36.0883280757098,4.44794952681388,11.7665615141956,31.0725552050473,62.9968454258675,34,"USA",23,"-","-","11","21",86.2,37.0031545741325,NA,NA,NA,NA,NA,NA,NA,NA,83.3753943217666,43.2841468028755,5.33484676503973,14.1127506621264,37.2682557699584,NA,NA,NA,NA,NA,NA
"University of North Carolina at Chapel Hill","North Carolina",63.665694182255,7.90801441565128,6.50420456495624,8.27183799553801,56.5677020765402,36,"USA",24,"214","107","46","28",85.9,43.4322979234598,27,1190,27,41,17815,"NC",TRUE,34588,86.3497511584005,73.7300262341999,9.15812067731934,7.53239526194451,9.57945782653629,5,"North-Carolina",55000,100800,49,19
