"name","state","White","Black","Hispanic","Asian","Women","World.Rank","National.Rank","Men","act-avg","sat-avg","acceptance-rate","percent-receiving-aid","cost-after-aid","institutionalControl","tuition","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent"
"Harvard University","Massachusetts",45.6253690389358,5.15786183182244,7.86009516862909,14.681671355632,48.5186342954395,1,1,51.4813657045605,32,1430,5,55,16338,"private",48949,74800,146800,54,19
"Massachusetts Institute of Technology","Massachusetts",33.112465765527,3.03913773301528,9.60332184821981,16.1851753688488,37.3354536619843,2,2,62.6645463380157,33,1460,8,58,20331,"private",49892,86300,155200,52,69
"Stanford University","California",36.6562518422449,3.73165124093616,10.3106761775629,15.5043329599717,41.4667216883806,3,3,58.5332783116194,31,1380,5,47,19296,"private",49617,79000,145200,56,51
"Columbia University","New York",34.7421073616296,5.1143571713364,7.93069701692704,12.5919750625249,50.7194896516728,6,4,49.2805103483272,32,1430,6,48,21041,"private",57208,71400,126800,45,30
"Princeton University","New Jersey",43.1998021760633,5.86053412462908,7.05984174085064,15.8506429277943,45.3635014836795,7,5,54.6364985163205,32,1400,7,60,16793,"private",47140,75200,139400,48,48
"University of California, Berkeley","California",30.6641820843871,2.35857846399574,12.0564355117796,29.7404498868628,50.1823505923067,8,6,49.8176494076933,29,1300,16,23,49614,"public",42112,70700,131800,49,36
"University of Pennsylvania","Pennsylvania",45.3438684189309,5.97839232443764,7.25227767475611,14.9842779972587,52.6767717487705,9,7,47.3232282512295,32,1380,9,47,25441,"private",53534,72800,133900,41,21
"University of Chicago","Illinois",42.6574816188647,4.19950983639134,6.1469166059482,12.7376299927138,42.0017221964629,10,8,57.9982778035371,32,1450,8,42,27767,"private",54825,64000,114200,41,22
"California Institute of Technology","California",33.635129017655,1.22227252150294,7.83159800814848,26.2562245359891,30.7378904481666,11,9,69.2621095518334,34,1510,8,51,23973,"private",49908,84100,151600,53,97
"Yale University","Connecticut",47.8761348897536,5.47178988326848,7.61186770428016,12.8161478599222,48.9704928664073,12,10,51.0295071335927,32,1420,6,50,18385,"private",51400,70300,138300,53,22
"Cornell University","New York",39.6651137045067,4.88491166566724,9.19784122883897,14.4333225702293,48.4662576687117,14,11,51.5337423312883,31,1330,14,44,28068,"private",52853,70100,128200,45,43
"Northwestern University","Illinois",48.2230676440568,4.90860165166558,7.71086573257864,13.2921963440661,46.9008072747518,15,12,53.0991927252482,32,1400,11,43,31087,"private",52678,63400,115400,46,20
"University of California, Los Angeles","California",30.6464332656231,2.93702951368144,16.8861273748357,26.9016608913849,52.8282948978373,16,13,47.1717051021627,25,1160,18,15,42896,"public",41270,62000,116100,48,31
"University of Michigan, Ann Arbor","Michigan",56.8710601719198,3.99312320916905,4.43094555873926,11.4017191977077,47.876217765043,17,14,52.123782234957,29,1310,29,25,32856,"public",47476,63500,112200,45,38
"Johns Hopkins University","Maryland",47.6137001684447,6.63952835485682,7.00917087778402,13.658057271196,51.9792251544076,18,15,48.0207748455924,32,1420,12,45,30067,"private",52170,67200,117100,57,31
"University of Washington","Washington",46.9252411575563,2.44060378706681,6.51348695962844,19.4310468024294,52.18158270811,19,16,47.81841729189,26,1120,45,20,47746,"public",35538,61900,112300,51,34
"University of Illinois at Urbana-Champaign","Illinois",48.2432432432432,4.84271156402304,7.49667700487373,13.5600354452813,44.9069561364643,20,17,55.0930438635357,26,1280,60,9,35977,"public",31988,62600,115300,44,36
"Duke University","North Carolina",49.1107467204844,7.29061553985873,5.02648839556004,14.3037336024218,49.7666498486377,23,18,50.2333501513623,31,1380,11,41,23374,"private",53744,71100,132100,50,26
"University of Wisconsin-Madison","Wisconsin",71.4470162918447,2.25597445889478,4.57298464716653,5.11995868350627,50.7324287525236,25,19,49.2675712474764,27,1234,53,16,36113,"public",34782,57300,104400,48,33
"New York University","New York",35.1625603766692,4.81795673174494,8.65973941632504,14.8435280269513,55.1061411697853,26,20,44.8938588302147,29,1250,32,46,41783,"private",50464,63100,117700,42,18
"University of California San Diego","California",25.2531831059299,1.26347324888469,14.6308899671106,34.0063173662444,45.9213911231235,27,21,54.0786088768765,25,1140,36,7,42933,"public",44197,63400,123700,52,58
"University of Texas at Austin","Texas",46.9042932590182,3.82164363806443,19.1686317307505,16.2220100169548,50.7941457330501,31,22,49.2058542669499,26,1140,40,7,40558,"public",35766,60700,112800,49,28
"University of California, San Francisco","California",36.0883280757098,4.44794952681388,11.7665615141956,31.0725552050473,62.9968454258675,34,23,37.0031545741325,NA,NA,NA,NA,NA,"public",NA,NA,NA,NA,NA
"University of North Carolina at Chapel Hill","North Carolina",63.665694182255,7.90801441565128,6.50420456495624,8.27183799553801,56.5677020765402,36,24,43.4322979234598,27,1190,27,41,17815,"public",34588,55000,100800,49,19
"University of Minnesota","Minnesota",65.8376835396015,3.4899407589888,3.01874987780319,7.81668524058107,51.6628541263417,38,25,48.3371458736583,26,1180,44,23,28170,"public",26603,57200,104000,51,30
"University of Texas Southwestern Medical Center","Texas",36.052968816745,2.56300726185391,7.85988893635199,17.9837676206749,49.3806065783853,40,26,50.6193934216147,NA,NA,NA,NA,NA,"public",NA,NA,NA,NA,NA
"Washington University in St. Louis","Washington",51.8120992472819,5.5965988291051,4.59994424310008,13.5558962921662,50.7875662113186,41,27,49.2124337886814,32,1400,17,41,29245,"private",51533,64800,114900,42,30
"University of Southern California","California",32.7939132687914,5.27171224648435,12.4514168609992,18.1282830424234,52.0858361011,44,28,47.9141638989,30,1280,17,33,33112,"private",54259,64500,120600,47,23
"Brown University","Rhode Island",42.3265439494608,5.9906328286679,9.73750136150746,11.9703735976473,50.9966234614966,45,29,49.0033765385034,31,1370,9,41,24482,"private",53419,68200,127600,45,43
"Vanderbilt University","Tennessee",60.3263440012612,7.34668138104998,6.38499132902412,7.6146933627621,53.5472174050134,46,30,46.4527825949866,32,1420,11,46,23323,"private",47664,65400,119100,48,23
"Pennsylvania State University","Pennsylvania",66.8643707482993,3.87542517006803,5.24659863945578,5.57823129251701,46.1288265306122,47,31,53.8711734693878,25,1090,56,14,41789,"public",33664,58500,105500,47,37
"Rutgers University-New Brunswick","New Jersey",43.2345280912812,8.0077721278267,11.2406465748894,22.4275497126793,53.491256356195,48,32,46.508743643805,NA,1110,57,13,40121,"public",30023,59800,111000,42,29
"Dartmouth College","New Hampshire",47.1260717688155,5.4144172753255,7.08161321054303,12.305493807558,47.1101937122896,49,33,52.8898062877104,30,1350,11,50,23312,"private",52950,71500,130900,44,35
"University of California, Davis","California",33.0300220238785,2.04300452069085,16.5092152544338,30.0712878173177,56.5318187087052,50,34,43.4681812912948,24,1050,42,9,44075,"public",42396,61500,112600,52,35
"University of Virginia","Virginia",61.5666610483735,5.51575931232092,5.23344008090342,10.0792179335918,54.0409573571549,53,35,45.9590426428451,29,1240,30,28,28079,"public",46975,64500,117500,46,23
"Ohio State University","Ohio",69.0699907410583,5.32903535544049,3.51325400363499,5.72511230753403,49.1375467233634,54,36,50.8624532766366,27,1160,54,9,37032,"public",29659,55300,98600,49,27
"University of Colorado Boulder","Colorado",70.5414405525407,1.57868771583621,9.37962506166749,4.98581647755303,44.1230883078441,57,37,55.8769116921559,25,1070,77,12,41125,"public",35079,57800,109900,48,39
